sphere,schwefel,rosenbrock,rastrigin,griewank,ackley
97.24993590965356,-26.887898840676318,-75.42752833631761,3.8465943598559074,540.1551421766106,27.007757108830532
77.06098501613455,-4.9090304145479715,-35.73170156618568,4.323622057438314,-322.63378371085463,-16.131689185542726
-19.03114880399589,-56.82602540633334,-57.59564404992896,-2.821629369541346,128.2111002501439,6.410555012507197
25.428697996941164,-95.04366960537227,38.90984566694638,0.6465381759832524,-16.82103754884031,-0.8410518774420161
-22.908802625497103,-4.339775680348041,52.24768179547373,4.3382018650723895,469.5587593786819,23.477937968934093
69.57217579469021,-50.297068853579894,-30.361027686687514,2.4408699716323827,314.5161996328736,15.725809981643684
5.369713926217884,-2.752898865611627,50.690814347439215,-3.4593102409441765,-52.23880179799039,-2.6119400898995195
61.480730690808294,-84.85615341031891,49.79866080539158,2.3370587586814815,-577.7956281021306,-28.88978140510654
-21.30069854316696,-74.53372729919738,-71.15514747331727,3.9799805584558183,385.6885971543039,19.2844298577152
92.34681338401504,-60.380274391134826,-30.78367518052392,4.29001432377432,-66.35596277616696,-3.3177981388083495
-93.97588122564035,-61.20629045964165,-43.000950767443854,2.373932050139679,138.5188177201137,6.925940886005685
90.74598676939245,-53.791175480501444,-20.08811847975014,3.2249767777904643,350.32444491244246,17.51622224562212
42.87698026959782,-4.573086918505325,71.5272562672059,-0.023574441328567456,506.1755648937632,25.30877824468815
29.309646299382937,-28.685217420081315,48.01996280584528,4.627385969736853,285.8486949727984,14.29243474863992
-10.669548454591123,-87.25376790696146,-46.027679782091276,4.613435488069451,-388.4806266064585,-19.424031330322922
-65.07461779584801,-56.48486645998762,-8.163441271197826,0.9947228966091186,-113.15254432548545,-5.657627216274272
67.04941630852382,-50.787415531483525,-40.97564427609482,1.6101377159473538,522.5636389291265,26.128181946456326
94.01877030471267,-42.895373315320256,-13.827357740575197,-4.725346518905071,500.2853278960893,25.014266394804455
-73.0050201912291,-78.49578055483582,35.81657199519562,-2.697465208549752,-107.67575161086558,-5.383787580543277
